postal_code,attendance,lat,lon
T2P0S7,866,51.046181,-114.067995
T2B2T3,678,51.021508,-113.973847
T2E7V6,632,51.04711,-114.03647
T2T2B9,540,51.023189,-114.103972
T2A3J6,512,51.063115,-113.9637375
T2A5E6,481,51.043148,-113.970023
T3L3E2,432,51.122698,-114.247871
T2T3J3,409,51.032294,-114.087415
T2E9A7,402,51.081615,-114.005005
T2E0S6,400,51.0606335,-114.034777
T2N0Z5,397,51.058689,-114.097957
T2P3P4,388,51.04746345,-114.0632601
T2W1Y3,386,50.9586145,-114.1251935
T3G5T9,380,51.148687,-114.213373
T2G0M9,378,51.041645,-114.032581
T2T1N3,355,51.027916,-114.108244
T2E4S7,351,51.0597,-114.021805
T3A2J1,344,51.1159995,-114.1469865
T3K3X1,336,51.138085,-114.102577
T2P3M9,316,51.049783,-114.058229
T2P4K3,316,51.049409,-114.065488
T2T3K1,312,51.035041,-114.088535
T3E2A8,306,51.030901,-114.12383
T3A1E6,305,51.104088,-114.14745
T2A7W7,300,51.04703207,-113.9996572
T3A5X6,297,51.148964,-114.127288
T3H4W2,288,51.062831,-114.191136
T2X1J6,285,50.91268,-114.061563
T3B0Y9,280,51.079745,-114.162076
T3H5S1,272,51.0703,-114.206158
T2E5J3,260,51.062489,-114.033558
T3H2H1,256,51.028053,-114.168964
T3L1J3,252,51.117894,-114.215148
T2E6G9,249,51.0703303,-114.0184124
T2N1X1,242,51.054162,-114.088771
T1Y1Y9,240,51.074112,-113.964099
T2M0H4,240,51.067122,-114.065446
T2H1B4,239,50.987643,-114.062922
T2N1B1,237,51.058704,-114.125544
T2J3E5,236,50.943382,-114.032661
T2J1G5,226,50.963411,-114.062577
T2N2T6,218,51.058819,-114.129514
T3B4P3,217,51.112934,-114.196283
T3A1Z5,217,51.114091,-114.16803
T3B0Y2,216,51.0755315,-114.157015
T3C1R1,212,51.047568,-114.139712
T3L2S1,210,51.118026,-114.238845
T3G4W1,210,51.147464,-114.181381
T2P4B9,204,51.048262,-114.065438
T2M1B8,204,51.0696385,-114.105205
T2N3M5,202,51.052037,-114.100546
T1Y7J7,201,51.093253,-113.994407
T3J4T6,201,51.010224,-113.965302
T2E7E4,201,51.076875,-114.014416
T2P4L4,201,51.05076767,-114.0755837
T2A6T9,201,51.039971,-114.001379
T3E6T8,200,51.01597831,-114.1624181
T2E5K1,200,51.059853,-114.042845
T3B1Z7,200,51.094982,-114.205327
T3C0H6,198,51.044958,-114.160575
T3K2L9,198,51.13143,-114.118188
T3L2Y6,196,51.114878,-114.237847
T3E0Z1,195,51.0232555,-114.1310995
T2E4P8,195,51.05326733,-114.0341451
T3H5S8,190,51.020252,-114.221519
T2J7A2,189,50.937821,-114.011758
T3L1T9,189,51.113475,-114.217659
T2N1Y9,189,51.05569,-114.091859
T2Z3K7,186,50.912458,-113.966137
T3H1Z4,181,51.063462,-114.169803
T2J3L1,179,50.9562125,-114.054986
T3J3J3,176,51.097898,-113.931564
T3H5C8,176,51.067883,-114.202069
T2G3Y3,176,51.040739,-114.028787
T2N0Z6,174,51.059133,-114.106309
T3E7E9,173,51.015028,-114.136481
T3G1Z5,172,51.129181,-114.18766
T2T2H5,171,51.020577,-114.106473
T3E1R8,168,51.001258,-114.109206
T2P0L4,166,51.04871652,-114.0699502
T2M1X1,163,51.07436,-114.066348
T3C0B3,162,51.050443,-114.143113
T2V3X4,162,50.967743,-114.119883
T3C2R7,160,51.045212,-114.155297
T2J6N9,160,50.930328,-114.011023
T3H1Z3,160,51.063461,-114.169803
T3M1A9,160,50.888988,-113.984828
T2E3X6,160,51.072893,-114.050468
T3E3L2,159,51.025286,-114.146833
T2P0H6,158,51.049225,-114.066065
T2S0G9,156,51.03426,-114.071671
T2N0R9,155,51.057089,-114.09044
T2E6J3,154,51.073502,-114.016324
T3H5Y8,152,51.089571,-114.214021
T2E4B9,150,51.052828,-114.045619
T3A6C8,150,51.150467,-114.127799
T2W4Z2,150,50.945133,-114.124492
T2Y4C9,148,50.895947,-114.10884
T2N2Z2,148,51.058411,-114.139961
T2Z2J5,148,50.94353,-114.0069
T2B2J1,147,51.018935,-113.991445
T3A2H4,145,51.104262,-114.155311
T3H4J2,145,51.050875,-114.191682
T3H5E7,144,51.06574,-114.196536
T2N2Y9,144,51.0582065,-114.1399215
T3H4J8,144,51.022314,-114.202684
T3H0B1,143,51.0683,-114.213928
T2Z2M9,142,50.952264,-114.006074
T3B4R5,141,51.116784,-114.198556
T2Z3L9,141,50.922363,-113.966018
T2Z2G8,140,50.906801,-113.991829
T3L2K7,139,51.121164,-114.247052
T3K2X5,139,51.133588,-114.093345
T3A1V3,138,51.115619,-114.158247
T3K5B7,138,51.153024,-114.084808
T2E0H7,138,51.0553,-114.052057
T2S1T4,138,51.028436,-114.068587
T2W6G9,137,50.94862,-114.115898
T3R1H2,137,51.13731,-114.18708
T2V3V1,136,50.966879,-114.113372
T3M1B3,136,50.89184,-113.97865
T3E1R9,136,51.008213,-114.111904
T2X0C2,135,51.125632,-114.190908
T3B0S7,135,51.075173,-114.16195
T3K2B3,134,51.134828,-114.078778
T3L2P4,134,51.13536,-114.275274
T2T1W9,134,51.02501478,-114.1095178
T2Z1E7,134,50.901161,-113.98779
T2P2S5,133,51.049741,-114.058229
T3G4W2,133,51.147018,-114.179101
T3B5X8,133,51.085118,-114.263908
T3R1N3,133,51.157741,-114.133897
T2X3A7,132,50.899772,-114.035468
T3G5V2,132,51.149494,-114.216183
T3L1A8,132,51.117471,-114.2080065
T3A3V4,132,51.125468,-114.142915
T3M0K1,131,50.878674,-113.948718
T2E4N3,130,51.0539075,-114.036377
T2J1Y7,130,50.9591555,-114.0365785
T3E4V8,130,51.017638,-114.143964
T2Z2J7,130,50.918785,-113.979665
T2R0W8,130,51.040013,-114.066062
T3H5N9,129,51.058967,-114.216946
T2W3W5,128,50.93611,-114.126929
T2C4K7,128,50.965779,-114.016643
T3L2K6,128,51.121396,-114.247619
T3G3G6,128,51.131403,-114.169607
T3H2S7,128,51.04955,-114.186935
T2V1Y2,126,50.995495,-114.091786
T2Z4K7,125,50.925371,-113.973785
T2L1R1,125,51.0916145,-114.125128
T3H5B2,123,51.055707,-114.20491
